lenderid,name,rssdid,Non-us
L0144,BANCA ITALO ROMENA,,
L0145,BANCA MANUSARDI & C,,
L0146,BC MARCH SA,,
L0147,BC MAS SARDA,,
L0148,BANCA MERCANTILE ITALIANA,,
L0149,MONTE DEI PASCHI DI SIENA,,
L0150,BANCO MORA,,
L0151,BANCA NAZIONAL DEL'AGRIOLTURA,,
L0152,BC NAZIONALE DEL LAVORO,,
L0153,BANCA NAZIONALE DELL'AGRICOLTURA,,
L0154,BANCA NAZIONALLE DELLE COMMUNICAZIONI,,
L0155,BANCA POPILARE ABRUZZESE MARCHIGIANA,,
L0156,BANCA POPOLARE COOPERATIVA DI PESCOPAGANO,,
L0157,BANCA POPLARE DI ASOLO E MONTEBELLUNA,,
L0158,BANCA POPOLARE DI BARI,,
L0159,BANCA POPOLARE DI LODI,,
L0160,BC POPOLARE DI MILANO,,
L0161,BC POPOLARE DI NOVARA,,
L0162,BANCA POPLARE DI PADOVA TREVISO E ROVIGO,,
L0163,BANCA POPLARE DI PALERMO,,
L0164,BANCA POPOLARE DI PARABITA E ARADEO,,
L0165,BANCA POPLARE DI VICENZA,,
L0166,BANCA POPLARE MASSICANA,,
L0167,BC PROVINCIALE LOMBARDA,,
L0168,BC SERFIN SA,,
L0169,BANCA TOSCANA,,
L0170,BC UNIONE DI CREDITO,,
L0171,BANCO AMBROSIANO OVERSEAS (NASSAU),,
L0172,BANCO ANGLO COLOMBIANO (NASSAU),,
L0173,BC ARABE ESPANOL SA,,
L0174,BANCO ATLANTICO S.A.,,
L0175,BANCO AUXILIAR,,
L0177,BANCO BILBAOVIZCAYA,,
L0178,BANCO BORGES Y IRMAO,,
L0179,BANCO CAFETERO,,
L0180,BC CENTRAL SA (UK),,
L0181,BC COMERCIAL PARA AMERICA SA,,
L0182,BANCO COMMERCIAL TRANSATLANTICO,,
L0183,BC COMMERCIO E INDUSTRIA SAO PAULO,,
L0184,BANCO CONSOLIDADO,,
L0185,BANCO CREDITO Y AHORRO PONCENO,,
L0186,BANCO DE ANDALUCIA,,
L0187,BANCO DE ANDES Y DE ESPANA,,
L0189,BC DE BILBAO,,
L0190,BC DE BOGOTA SA (PAN.),,
L0191,BANCO DE CHILE,,
L0192,BC DE COLOMBIA SA,,
L0193,BC DE COMERCIO SA,,
L0194,BANCO DE CREDITO DEL PERU,,
L0195,BANCO DE CREDITO E INVERSIONES,,
L0196,BANCO DE CREDITO INDUSTRIAL,,
L0197,BANCO DE CREDITO LOCAL,,
L0198,BANCO DE EUROPA,,
L0199,BANCO DE FINANCIACION INDUSTRIAL,,
L0200,BANCO DE FINANZAS,,
L0201,BANCO DE FOMENTO NACIONAL (BRUSSELS),,
L0203,BC DE LA NACION ARGENTINA,,
L0204,BANCO DE LA PEQUENA Y MEDIANA EMPRESA,,
L0205,BC DE REBUBLICA ORIENTAL DEL URUGUAY,,
L0206,BANCO DE LONDRES Y MEXICO S.A.,,
L0207,BC DE MADRID,,
L0209,BANCO DE PROGRESO,,
L0210,BC DE PROVINCIA DE BUENOS AIRES,,
L0211,BC DE RESERVAS REPUBLICA DOMINICANA,,
L0212,BC DE SABADELL SA,,
L0213,BC DE SANTANDER INT.,,
L0215,BANCO DE TOLEDO,,
L0216,BC DE VIZCAYA,,
L0217,BANCO DEL ESTADO DE CHILE,,
L0218,BC DI NAPOLI,,
L0219,BC DI ROMA,,
L0220,BC DI SANTO SPIRITO,,
L0221,BANCO DI SARDEGNA,,
L0222,BC DI SICILIA,,
L0223,BANCO DI SOMA,,
L0224,BC DO BRASIL SA,,
L0226,BC DO ESTADO DE SAO PAULO SA,,
L0227,BANCO ECONOMICO (CAYMAN ISLANDS),,
L0228,BC ESPANOL DE CREDITO,,
L0229,BC ESPANOL EN ALEMANIA,,
L0230,BANCO ESPIRITO SANTO,,
L0231,BC EXTERIOR DE ESPANA SA,,
L0232,BANCO EXTEBANDES,,
L0233,BANCO EXTERIOR FRANCE,,
L0234,BANCO FONSECAS E BURNAY,,
L0235,BANCO GANADERO (PANANMA),,
L0236,BC GUIPUZCOANO SA,,
L0237,BANCO HERRERO,,
L0238,BANCO HISPANO AMERICANO,,
L0239,BANCO HISPANO INDUSTRIAL,,
L0240,BANCO INDUSTRICAL DE BILBAO,,
L0241,BANCO INDUSTRIAL DE CATALUNA,,
L0242,BC INDUSTRIAL DE VENEZUELA CA,,
L0243,BANCO INTERCONTINENTAL ESPANOL,,
L0244,BC INTERNATIONAL SA,,
L0245,BANCO INTERNACIONAL DE COLOMBIA,,
L0246,BC INT. DE COMERCIO SA,,
L0247,BC INTERNACIONAL SA,,
L0248,BC INTERNATIONAL DE COSTA RICA,,
L0249,BC ITAU SA (US),,
L0250,BANCO LARIANO,,
L0251,BC LATINOAMERICANO DE EXPORTACIONES,,
L0252,BC MERCANTIL DE SAO PAULO (UK),,
L0253,BC MERCANTIL DE TARRAGONA,,
L0254,BC MERCANTIL VENEZOLANA NV,,
L0255,BC MERCANTIL Y AGRICOLA CA (VEN.),,
L0256,MEXICAN BANK LTD.,,
L0257,BANCO NACIONAL,,
L0258,BC NACIONAL DE DESARROLLO,,
L0259,BC NACIONAL DE MEXICO SA,,
L0261,BANCO NACIONAL DE PANAMA,,
L0262,BC NACIONAL SA (US),,
L0263,BANCO NACIONAL ULTRAMARINO,,
L0264,BANCO NATWEST MARCH,,
L0265,BANCO NORDESTE DE SAO PAULO,,
L0266,BANCO PASTOR,,
L0267,BC PINTO & SOTTO MAYOR (PARIS),,
L0268,BANCO POPULAR,,
L0269,BC POPULAR DE PUERTO RICO,,
L0270,BANCO POPULAR ESPANOL,,
L0271,BANCO POPULAR INDUSTRIAL,,
L0272,BC PORTUGUESE DO ATLANTICO,,
L0273,BANCO PROVINCIAL OVERSEAS,,
L0274,BANCO REAL S.A.,,
L0275,BC RIO DE LA PLATA SA (US),,
L0276,BANCO DE SANTANDER DE NEGOCIOS,,
L0277,BC SAUDI ESPANOL SA,,
L0278,BC TOTTA & ACORES,,
L0279,BANCO URQUIJO UNION SA,,
L0280,BANCO URQUIJO,,
L0281,BC URQUIJO HISPANO AMERICANO LTD,,
L0282,BC ZARAGOZANO SA,,
L0283,BANCOM DEVELOPMENT CORP,,
L0284,BANCOM INT. LTD,,
L0285,BANCONE PHIO,,
L0286,BANGKOK BANK LTD (UK),,
L0287,BANGKOK METROPOLITAN BANK,,
L0288,BANK AL JAZIRA,,
