lenderid,name,rssdid,Non-us
L0625,CHICAGO MERCANTILE EXCHANGE,,
L0626,CHICAGO-TOKYO BANK,,
L0627,CHIME SOGO BANK,,
L0628,CHINA & SOUTH SEA BANK LTD,,
L0629,CHINA DEVELOPMENT FINANCE CO (HK),,
L0630,CHINA INTERNATIONAL FINANCE CORP,,
L0631,CHIYODA MUTUAL LIFE INSURANCE,,
L0632,CHO-HUNG BANK,,
L0633,CHRISTIANIA BK OG KREDITKASSE,,
L0634,CHUGOKU BANK,,
L0635,CHUO TRUST & BANKING CO LTD,,
L0636,CIA PRIVATA FINANZA INVESTIMENTI SPA,,
L0637,CIAL,,
L0638,CIC,,
L0639,CISALPINE OVERSEAS BANK LTD,,
L0640,THE CIT GROUP,,
L0641,CITIC INDUSTRIAL BANK,,
L0642,CITIBANK NA,,
L0643,CITIZENS AND SOUTHERN NATIONAL BANK,,
L0644,CLEVELAND TRUST CD,,
L0645,CLYDESDALE BANK LTD,,
L0646,CMIC FINANCE & SECURITIES CO,,
L0648,CO-OPERATIVE BANK,,
L0649,COFIRI SPA,,
L0650,COLES-MYER,,
L0651,COLONIAL BANK,,
L0652,COMERICA ASIA,,
L0653,COMIND,,
L0654,COMMERCE BANK OF SINGAPORE,,
L0655,COMMERCE INTERNATIONAL TRUST LTD,,
L0656,COMMERCE UNION BANK,,
L0657,COMMERCIAL BANK,,
L0658,COMMERCIAL BK OF AUSTRALIA LTD,,
L0659,COMMERCIAL BANK OF DUBAI,,
L0660,COMMERCIAL BK OF KUWAIT SAK,,
L0661,COMMERCIAL BK CO OF SYDNEY LTD,,
L0662,COMMERCIAL CONTINENTAL,,
L0663,COMMERCIAL CREDIT INTERNATIONAL BANKING CORP,,
L0666,COMMONWEALTH TRADING BK OF AUSTRALIA,,
L0668,CIE FINANCIERE LUXEMBOURG SA,,
L0669,COMPAGNIE LUXEMBOURGEOISE DE BANQUE S.A.,,
L0670,COMPAGINIE LUXEMBOURGEOISE DE LA DRESDNER BANK,,
L0671,COMPANIE MONEGASQUE DE BANQUE,,
L0672,COMPANIA TELEFONICA NACIONAL DE ESPANA,,
L0673,CONFEDERACION ESPANOLA DE CAJAS DE AHORRO,,
L0674,COFEDREATION DE CATAS GROUP,,
L0675,CONGRESS FINANCIAL CORP,,
L0676,CONNETICUT BANK & TRUST,,
L0677,CONNECTICUT NATIONAL BANK,,
L0678,CONSOLIDATED BANK,,
L0680,CONTINENTAL BANK OF CANADA,,
L0681,CONTINENTAL BANK,,
L0682,CONTINENTAL ILLINOIS,,
L0684,COOPERATIEVE CENTRALE RAIFFEISEN-BOERENLEENBANK G.A.,,
L0685,KJOBENHAVNS HANDELSBANK,,
L0686,CORPFINANCE INTERNATIONAL,,
L0687,COUNTY BANK LTD,,
L0688,CREDIOP,,
L0689,CREDIT AGRICOLE,,
L0690,CREDIT AND FINANCE CORP LTD,,
L0691,CREDIT CHIMIQUE,,
L0692,CREDIT COMMERCIAL DE FRANCE,,
L0693,CREDIT COMMUNAL DE BELGIQUE SA,,
L0695,CREDIT DES BERGUES,,
L0696,CREDIT DU NORD SA,,
L0697,CREDIT EUROPEEN SA,,
L0698,CREDIT & FINANCE CORP LTD,,
L0699,CREDIT FONCIER DE FRANCE,,
L0700,CREDIT GENERAL SA DE BANQUE,,
L0701,CRED. IND. ALSACE ET LORRAINE SA,,
L0702,CREDIT INDUSTRIEL DE L'OUEST,,
L0703,CREDIT INDUSTRIEL ET COMMERCIAL,,
L0705,CREDIT NATIONAL,,
L0706,CREDIT NAVAL,,
L0707,CREDIT ROMAGNOLO,,
L0709,CSFB,,
L0710,CREDITANSTALT-BANKVEREIN,,
L0711,CREDITCORP INTERNATIONAL,,
L0712,CREDITTTO ARTIGIANO,,
L0713,CREDITO COMMERCIALE,,
L0714,CREDITO EMILIANO,,
L0715,CREDITO ITALIANO,,
L0716,CREDITTTO LOMBARDO,,
L0717,CREDITO ROMANGNOLO,,
L0718,CREDITO VARASINO,,
L0719,CREDITWEST,,
L0721,CROCKER NATIONAL BANK,,
L0722,CROWN LEASING (USA),,
L0723,CSFV,,
L0724,CSL GROUP LTD,,
L0726,CTB AUSTRALIA,,
L0727,CTSB,,
L0728,CUSTOM CREDIT CORP,,
L0729,DAI-ICHI KANGYO BANK LTD,,
L0730,DAI-ICHI MUTUAL LIFE INSURANCE CO,,
L0731,DAI-TOKYO FIRE & MARINE INSURANCE CO,,
L0732,DAIDO MUTUAL LIFE INSURANCE CO,,
L0733,DAIHYAKU MUTUAL LIFE INSURANCE COMPANY,,
L0734,DAI-HYAKU MUTUAL LIFE INSURACE CO,,
L0735,DAI SAN SOGO BANK,,
L0736,DAISHI BANK,,
L0737,DAIWA BANK LTD,,
L0738,DAIWA SECURITIES,,
L0740,DANISH INDUSTRIALISATION FUND FOR DEVELOPING COUNTRIES,,
L0741,DAO HENG BANK,,
L0742,DEAN WITTER CAPITAL MARKETS-INTERNATIONAL,,
L0743,DELTEC BANKING CORP. LTD.,,
L0744,DEN DANSKE BANK,,
L0745,DEN NORSKE CREDITBANK,,
L0746,DEPOSIT GUARANTY NATIONAL BANK,,
L0747,DETROIT BANK & TRUST,,
L0748,DEUTSCH-SUDAMERIKANISCHE BANK AG,,
L0749,DEUTSCHE SKANDINAVISCHE BK AG,,
L0751,DEUTSCHE HYPOTHEKENBANK AG,,
L0752,DEUTSCHE LAENDERBANK AG,,
L0753,DEUTSCHE SIEDLUNGS-UND LANDESRENTENBANK,,
L0755,DEUTSCHE-SUEDAMERIKANISCHE,,
L0758,DEVELOPMENT BANK OF SINGAPORE LTD,,
L0759,DEVELOPMENT BANK OF ZAMBIA,,
L0760,DEVELOPMENT FINANCE CORP OF NEW ZEALAND,,
L0761,DFC OVERSEAS INVESTMENT,,
L0762,DG CAPITAL CO LTD,,
L0763,DHANA SIAM FINANCE & SECURITIES CO,,
L0764,DIAMOND LEASE CO,,
L0765,ERSTE OESTERREICHISCHE SPAR-CASSE,,
L0766,"DILLON, READ & CO.",,
L0767,DISBANK,,
L0768,DISCOUNT BANK,,
L0769,DNC AMERICA BANKING CORP,,
L0770,DNC,,
L0771,DOA FIRE&MARINE INSURANCE,,
L0772,DONAU BANK,,
L0773,DONKER EN KRAMER,,
L0774,DOW BANKING CORP.,,
L0775,DOWA FIRE & MARINE INSURANCE CO,,
L0777,DREXEL BURNHAM LAMBERT,,
L0778,DUBAI BANK,,
L0779,E.F. HUTTON INT.,,
L0780,EAST ASIA WARBURG,,
L0781,EAST-WEST UNITED BANK SA,,
L0782,EDINGTON,,
L0783,EDWARD BATES & SONS LTD.,,
L0784,EENGELHARD INDUSTRIES PTY,,
L0785,EGEBANK,,
L0786,EGYPTIAN AMERICAN BANK,,
L0787,EIRC LTD,,
L0788,A/S EKSPORTFINANS,,
L0789,ELDER'S FINANCE & INVESTMENT CO,,
L0790,ELDERS IXL,,
L0791,ELDERS PACIFIC,,
L0792,ELDERS PICA,,
L0793,ELECTRO BANQUE,,
L0794,EMIRATES NATIONAL BANK,,
L0795,EFISA - ENGENHARIA FINANCERA SA,,
L0796,ENI INTERNATIONAL BANK,,
L0797,ENSDDA SECURITIES,,
L0798,EPTACONSORS,,
L0799,EQUATOR BANK LTD,,
L0800,EQUIBANK NA,,
L0801,EQUITABLE LIFE ASSURANCE SOCIETY OF THE UNITED STATES,,
L0802,EQUITABE REAL ESTATE CAPITAL MARKETS,,
L0803,ERGOBANK SA,,
L0804,ESANDA,,
L0805,ETIBANK,,
L0806,EURAMERICA INTERNATIONAL BANK LTD.,,
L0807,EURASCO AG,,
L0808,EURO-LATINAMERICAN BANK LTD,,
L0809,EUROBANK,,
L0810,EUROBRAZ,,
L0811,EUROMOBILIARE SPA,,
L0813,EUROPARTNERS BANK (NEDERLAND) NV,,
L0814,EUROPEAN-AMERICAN BANK AND TRUST CO.,,
L0815,EUROPEAN ARAB BANK GROUP,,
L0816,EUROPEAN ASIAN BANK,,
L0817,EUROPEAN BANKING CO LTD,,
L0818,EUROPEAN BRAZILIAN BANK LTD.,,
L0819,EIB,,
L0820,EUROPEAN AMERICAN BANKING CORP,,
L0821,EXCHANGE NATIONAL BANK,,
L0823,EXPORT DEVELOPMENT CORP,,
L0824,JAPAN EXIMBANK,,
L0825,US EXIMBANK,,
L0826,F. VAN LANSCHOT BANKIERS,,
L0827,FAELLESBANKEN FOR DANMARKS SPAREKASSER,,
L0828,FAYSAL ISLAMIC BAKN OF BAHRAIN,,
L0829,FAMILY BANK AND TRUST CO,,
L0830,FEDERAL COMMERCIAL BANK,,
L0831,FENNOSCANDIA,,
L0832,FIDELITY UNION TRUST CO.,,
L0834,FIDELITY BANK,,
L0835,FILINVEST FINANCE (HK),,
L0837,FINANCE&CREDIT CORP,,
L0838,FINANCIAL GROUP OF KUWAIT KSC,,
L0839,FINANSHUSET A/S,,
L0840,FINANZ AG (ZURICH),,
L0841,FINBAN SPA,,
L0842,FINCOMIT,,
L0843,FINCORP LTD,,
L0844,FINEUROP,,
L0845,FINNAT SPA,,
L0846,FINNISH EXPORT CREDIT,,
L0847,FIRST AMERICAN BANK OF NEW YORK,,
L0848,FIRST AUSTRIAN BANK,,
L0849,FIRST BANK,,
L0850,FIRST BRITANNIA MEZZANINE FUND,,
L0851,FIRST CANADIAN FINANCIAL CORP LTD,,
L0852,FIRST CITY CAPITAL CORP,,
L0853,FIRST CITY DALLAS,,
L0854,FIRST CITY NAT. BANK OF HOUSTON,,
L0855,FIRST CITY TEXAS,,
L0856,FIRST CORPORATE FINANCE,,
L0858,FIRST FIEDELITY BANK,,
L0859,FIRST HAWAIIAN BANK,,
L0860,PT FIRT INDONESIAN FIN. & INV. CORP,,
L0861,FIRST INT. (PACIFIC) LTD,,
L0862,FIRST INTERNATIONAL BANCSHARES LTD.,,
L0863,FIRST INTERSTATE ASIA,,
L0864,FIRST INTERSTATE BANK OF ARIZONA,,
L0865,FIRST INTERSTATE BANK OF CALIFORNIA,,
L0866,FIRST INTERSTATE BANK OF CANADA,,
L0867,FIRST INTERSTATE BANK OF OREGON,,
L0868,FIRST INTERSTATE BANK OF WASHINGTON,,
L0869,FIRST NATIONAL,,
L0870,FIRST NATIONAL BANK IN DALLAS,,
L0871,FIRST NATIONAL BANK IN ST. LOUIS,,
L0872,FIRST NATIONAL BANK OF AKRON,,
L0873,FIRST NATIONAL BANK OF ATLANTA,,
L0874,FIRST NATIONAL BOSTON LTD,,
L0875,FIRST CHICAGO CORPORATION,,
L0876,FIRST NATIONAL BANK OF COMMERCE,,
L0877,FIRST NATIONAL BANK OF MARYLAND,,
L0878,FIRST NATIONAL BANK OF MEMPHIS,,
L0879,FIRST NAT. BANK OF MINNEAPOLIS,,
L0881,FIRST NATIONAL BANK OF PENNSYLVANIA,,
L0883,FIRST NATIONAL SECURITIES,,
L0884,FIRST NATIONAL STATE BANK OF NEW JERSEY,,
L0885,FIRST PENNSYLVANIA BANK NA,,
L0886,FIRST PHILIPPINES CAPITAL CORP,,
L0887,FIRST SAUDI CORP,,
L0888,FIRST SECURITIES BANK OF UTAH,,
L0889,FIRST STATE BANK OF OREGON,,
L0890,FIRST TNNESSEE BANK,,
L0891,FIRST UNION NATIONAL BANK OF NORTH CAROLINA,,
L0893,FIRST WISCONSIN NATIONAL BANK OF MILWAUKEE,,
L0894,FIRST WISCONSIN SECURITIES CORP.,,
L0895,FISKERNES BANK,,
L0896,FLEET NATIONAL BANK,,
L0897,FOKUS BANK,,
L0899,FORRETNINGSBANKEN,,
L0900,FORFAITIERUNG & FINANZ AG,,
L0901,FORWARD TRUST CO,,
L0902,FRAB BANK INT.,,
L0904,FRENCH AMERICAN BANK CORP,,
L0905,FUJI BANK LTD,,
L0906,FUKOKU MUTUAL LIFE INSURANCE CO,,
L0907,FUKUOKA BANK,,
L0909,GE CAPTIAL,,
L0910,GEMINA SPA,,
L0911,GEMINI FINANCIAL SERVICES,,
L0912,GENERAL DE BANQUE BELGE,,
L0913,GENOSSENSCHAFTLICHE ZENTRA,,
L0914,GERRARD & NATIONAL PLC,,
L0915,GIRARD TRUST BANK,,
L0916,GIROZ. & BK DER OEST. SPARKASSEN AG,,
L0917,GIROZENTRALE VIENNA,,
L0918,GJENSIDIGE NORSK SKADEFORSIKRING,,
L0919,GOTA,,
L0920,GOLDEN STATE SANWA BANK,,
L0921,GOLDMAN SACHS INT. CORP,,
L0922,GOLDOME FSB,,
L0924,GOETABANKEN,,
L0925,GRAND METROPOLITAN FINANCE,,
L0926,GRAY DAWES BANK,,
L0927,GREAT PACIFIC FINANCE,,
L0928,GREENSHIELDS INC.,,
L0929,GRUNDIG BANK GMBH,,
L0930,GROUPO CONSOLIDADO,,
L0931,GUDBRANDSDAL SPAREBANSDAL SPAREBANK,,
L0932,GUDME RAASCHOU,,
L0933,GUINNESS MAHON,,
L0934,GULF BANK KSC,,
L0935,GULF INT. BANK,,
L0936,GULF INVESTMENT CORP,,
L0937,GULF RIYAD BK EC,,
L0938,H AND H FACTORS,,
L0939,HABIB BANK,,
L0940,HACHIJUNI BANK,,
L0941,HACHIPO BANK,,
L0942,HAFNIA MERCHANT BANK,,
L0943,HAIGTON EN RUTH,,
L0944,HAMBRECHT & QUIST,,
L0945,HAMBRO BANK LTD,,
L0946,HAMBURGISCHE LANDESBANK-GIROZENTRALE,,
L0947,HANDELSBANK N.W.,,
L0948,HANDELSFINANZ BANK,,
L0949,HANG SENG FINANCE LTD,,
L0950,HANSE BANK SA,,
L0951,HANSHIN SOGO BANK,,
L0952,HANSISCHE KAUFMANNS BANK,,
L0953,HARBORSIDE CORP,,
L0954,HARRIS TRUST & SAVINGS BANK,,
L0955,HARTFORD NATIONAL BANK,,
L0956,HAUSLAGE & CO KG,,
L0957,HAVANA INTERNATIONAL BANK LTD,,
L0958,HAWAII FINANCIAL CORP,,
L0959,HAWKER SIDDLEY,,
L0960,HEIWA LIFE INSURANCE CO,,
L0961,HELLER FINANCIAL,,
L0962,HENRY ANSBACHER & CO,,
L0963,HESSISCHE LANDESBANK-GIROZENTRALE,,
L0964,HFC TRUST,,
L0965,HIBERNIA NATIONAL BANK,,
L0966,HIDYUTI SUZUKI & CO,,
L0967,HIGO BANK,,
L0968,HILL SAMUEL & CO. LTD.,,
L0969,HIROSHIMA BANK,,
L0970,HOKKAIDO BANK,,
L0971,HOKKAIDO TAKUSHOKU BANK LTD,,
L0972,HOKKOKU BANK,,
L0973,HOKURIKU BANK,,
L0974,HOLANTSE BANK UNI (ISTANBUL),,
L0975,HOLBERG INC,,
L0976,HOLLANDSCHE BANK UNIE NV,,
L0978,HONG KONG FINTACRON LTD.,,
L0979,HONG KONG METROPOLITAN BANK,,
L0980,HONG LEUNG FINANCE,,
L0981,HONGKONG & SHANGHAI BK CORP,,
L0982,HONGKONG BANK OF CANADA,,
L0983,HOUSING BANK,,
L0986,HUA CHIAO COMMERCIAL BANK,,
L0987,HUNTINGDON NATIONAL BANK,,
L0988,HYAKUGO BANK,,
L0989,HYAKUJISHI BANK,,
L0990,HYOGO SOGO BANK,,
L0991,HYPOBANK INT. SA,,
L0992,IBERO-AMERIKA BANK,,
L0993,IBEROPARTNERS LTD,,
L0995,IKTISAT BANKASI TURK,,
L0996,IMI CAPITAL MARKETS LTD,,
L0997,INARCO INT. BANK,,
L0998,INDIAN BANK,,
L0999,INDIAN OVERSEAS BANK,,
L1000,NV DE INDONESISCHE OVERZEESE BK,,
L1001,INDOVER AMSTERDAM,,
L1002,INDUSTRIAL & COMMERCIAL BANK,,
L1003,ICBC,,
L1004,INDUSTRIAL BANK OF ASIA,,
L1005,IBJ INTERNATIONAL LTD.,,
L1006,INDUSTRIAL BANK OF KUWAIT KSC,,
L1007,INDUSTRIAL DEVELOPMENT BANK,,
L1008,INDUSTRIAL MULTINAT. INVESTMENTS LTD,,
L1009,INDUSTRIAL NAT. BANK OF RHODE ISLAND,,
L1010,INDUSTRIEBANK VON JAPAN (DEUTSCHLAND) AG,,
L1011,INDUSTRIEKREDITBANK AG,,
L1012,INJ,,
L1013,ISTITUTO DE CREDITO OFICIAL,,
L1014,INSULAR BANK OF ASIA,,
L1016,INTERALLIANZ BANK-ZURICH,,
L1017,INTERAMERICAN BANK CORP,,
L1018,INTERAMERIS INVESTMENT CORP,,
L1019,INTERBANK AG,,
L1020,INTERFIRST BANK OF DALLAS,,
L1022,INTERMEX,,
L1023,INT. BANK FOR ECONOMIC CO-OPERATION,,
L1024,INTERNATIONAL BANK OF ASIA,,
L1025,INTERNATIONAL BANK OF IRAN,,
L1026,INTERNATIONAL BANKERS INCORPORATED,,
L1027,INTERNATIONAL CO-OPERATIVE BANK,,
L1028,INT. COMMERCIAL BANK LTD,,
L1029,INT. ENERGY BANK LTD,,
L1030,INTERNATIONAL FINANCE CORP.,,
L1031,INT. FINANCIAL ADVISORS KSC,,
L1032,INTERNATIONAL INVESTMENT BANK,,
L1035,INTERNATIONAL MEXICAN BANK LTD,,
L1036,INT. NUCLEAR CREDIT BANK,,
L1037,INT. RESOURCES & FINANCE BANK SA,,
L1038,WORLD BANKING CORP. LTD.,,
L1040,INTERNATIONALE BANK FUR AUSSENHANDEL,,
L1041,INT. GENOSSENSCHAFTSBANK AG,,
L1043,INTERUNION-BANQUE,,
L1045,INTRADEV CORP SA,,
L1046,INTRAFIN,,
L1047,INVEST SECURITIES,,
L1048,INVESTITIONS & HANDELS-BK AG (UK),,
L1049,INVESTMENT BANK,,
L1050,INVESTMENT BANK OF IRELAND LTD,,
L1051,IRAN OVERSEAS INVESTMENT BANK LTD.,,
L1052,IRISH BANK OF COMMERCE,,
L1053,IRISH INTERCONTINENTAL BANK/KREDIETBANK INTERNATIONAL GROUP,,
L1054,IRVING BANK CANADA,,
L1055,IRVING BUSINESS CENTER (LOS ANGELES),,
L1056,IRVING TRUST CO.,,
L1057,ISM,,
L1058,ISTITUTO BANCARIO ITALIANO,,
L1059,ISTITUTO BANCARIO SAN PAOLO TORINO,,
L1060,INSTITUTO BDI CREDITO DELLE CASSA RURAL ED ARTIGIARE,,
L1061,ISTITUTO DI CREDITO DELLE CASSE RURALI ARTIGIANE,,
L1062,INSTITUTO MOBILIARE ITALIANO,,
L1063,ITAB GROUP,,
L1064,ITALIAN INTERNATIONAL BANK LTD.,,
L1065,ITALSTAT INTERNATIONAL,,
L1067,IYO BANK,,
L1068,J. HENRY SCHRODER BK & TRUST CO,,
L1069,J. HENRY SCHRODER WAGG & CO LTD,,
L1071,JAMES CAPEL BANKERS,,
L1074,JAPAN INT. BANK LTD,,
L1075,JAPAN LEASING (USA),,
L1076,JAPANESE COMMERCIAL BANKS,,
L1077,JAPANESE REGIONAL BANKS,,
L1078,JARDINE FLEMING & CO. LTD.,,
L1079,JERSEY INTERNATIONAL BANK OF COMMERCE,,
L1081,BERENBERG BANK,,
L1082,JOHN HANCOCK INSURANCE (BOSION),,
L1083,JOHNSON MATTHEY BANKERS LTD,,
L1084,JONES LANG WOOTTON USA,,
L1085,JORDAN FINANCE CONSORTIUM,,
L1086,JORDAN INVESTMENT & FINANCE CORP,,
L1087,JOYO BANK,,
L1088,JUROKU BANK,,
L1089,JYSKE BANK,,
L1090,KA WAH BANK,,
L1091,KAGOSHIMA BANK,,
L1092,KANSAI SOGO BANK,,
L1093,KANSALLIS INTERNATIONAL BANK (ASIA PACIFIC),,
L1094,KANSALLIS INT. BANK SA,,
L1095,KANSALLIS-OSAKE-PANKKI,,
L1096,KANTONALBANK OF BASLE,,
L1097,KAO FIRE AND MARINE INSURANCE CO,,
L1098,KAWASAKI LEASING INTERNATIONAL INC,,
L1099,KDB INTERNATIONAL (SINGAPORE),,
L1100,BQ KEYSER ULLMANN EN SUISSE SA,,
L1101,KIC,,
L1102,"KIDDER, PEABODY INT. LTD",,
L1103,KIIC,,
L1104,KINGCHENG BANK,,
L1105,KING&SHAXSON,,
L1106,KIN CHENG BARKING CORP,,
L1107,KINGCHUNG TOKYO FINANCE,,
L1108,KINKI SOGO BANK,,
L1109,"KLEINWORT, BENSON LTD",,
L1110,KOA FIRE & MARINE INSURANCE CO,,
L1111,KOBE BANK,,
L1112,KOFUKU SOGO BANK,,
L1113,KOREA ASSOCIATE FINANCE,,
L1114,KOREA COMMERCIAL FINANCE,,
L1115,KOREA DEVELOPMENT BANK INTERNATIONAL (SINGAPORE),,
L1116,KEB (ASIA) FINANCE,,
L1117,KOREA FIRST BANK,,
L1118,KOREA INTERNATIONAL MERCHANT BANK,,
L1119,KOREA KUWAIT BANKING CORP,,
L1120,KOREA MERCHANT BANKING CORP,,
L1121,KOREA NATIONAL FINANCE,,
L1122,KOREAN FRENCH BANKING CORP,,
L1123,KREDIETBANK NV,,
L1124,KREDIETBANK SA (SUISSE),,
L1125,KREDIETBANK SA LUXEMBOURGEOISE,,
L1126,KREDITANSTALT FUR WIEDERAUFBAU,,
L1127,KRUNG THAI BANK,,
L1128,"KUHN, LOEB & CO.",,
L1129,KUHN LOEB LEHMAN BROTHERS INT,,
L1130,KUWAIT ASIA BANK,,
L1132,KFTCIC,,
L1133,KUWAIT FOREIGN TRADING & INV. CO SAK,,
L1134,KUWAIT INT. INVESTMENT CO SAK,,
L1135,KUWAIT INVESTMENT CO. S.A.K.,,
L1136,KUWAIT PACIFIC FINANCE CO LTD,,
L1137,KUWAIT REAL ESTATE BANK KSC,,
L1138,KUWAITI-FRENCH BANK,,
L1139,KWANGTUNG PROVINCIAL BANK,,
L1140,KYOEI MUTUAL LIFE INSURANCE CO,,
L1141,KYOEI LIFE INSURANCE CO,,
L1142,KYOTI MUTUAL FIRE & MARINE INSURANCE COMPANY,,
L1143,KYOWA BANK LTD,,
L1144,L'EUROPEENNE DE BANQUE,,
L1145,LA CAISSE DESJARDINS DE QUEBEC,,
L1146,LA CAIXA,,
L1148,LA COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE,,
L1149,LA SALLE NATIONAL BANK,,
L1150,LANDESBK RHEINLAND-PFALZ SAAR INT. SA,,
L1151,LANDESBANK SAAR,,
L1152,LANDESBK SCHLESWIG-HOLSTEIN GIROZ.,,
L1153,LANDESBANKEN A/S,,
L1154,LANDESBK STUTTGART INT. SA,,
L1155,LAVORO BANK OVERSEAS NV,,
L1156,LAZARD BROTHERS & CO. LTD.,,
L1157,LAZARD FRERES & CIE,,
L1158,LBI HONG KONG MERCHANT BK SERVICES,,
L1159,LEASE UNDERWRITING,,
L1160,LEGAL & GENERAL ASSURANCE SOCIETY,,
L1161,LEHMAN BROTHERS LTD,,
L1162,LFC,,
L1164,LIBYAN ARAB FOREIGN BANK,,
L1165,LIL USA CO LTD,,
L1166,LINCOLN FIRST BANK NA,,
L1167,LIU CHONG HING BANK,,
L1168,LJUBLJANSKA BANKA,,
L1170,"LOEB, RHOADES & CO.",,
L1171,LOMBARD LEASING SERVICES,,
L1172,LONDON & CONTINENTAL BANKERS LTD.,,
L1173,LONDON FORTEITING,,
L1174,LONDON INTERSTATE BANK LTD.,,
L1175,LONDON ITALIAN BANK LTD,,
L1176,LONDON MULTINATIONAL BANK LTD.,,
L1177,LONG-TERM CREDIT BK OF JAPAN LTD,,
L1178,LUXEMBOURG ITALIAN BANK,,
L1179,MACQUARIE BANK,,
L1180,MAIBL BERMUDA (FAR EAST) LTD,,
L1181,MAJOR CALIFORNIAN COMMERCIAL BANK,,
L1182,MALAYAN BANKING BHD,,
L1183,MALAYAN FINANCE CO,,
L1185,MALAYSIA BORNEO FINANCE CORP,,
L1186,MALAYSIAN FRENCH BANK,,
L1187,MALAYSIAN IND. DEV. FINANCE BHD,,
L1188,MALAYSIAN INTERNATIONAL MERCHANT BANKERS,,
L1189,MANILA CBC FINANCE (HK),,
L1190,MANPHIL INVESTMENT CORP,,
L1191,MANUFACTURERS AND TRADERS BANK,,
L1192,MANUFACTURERS HANOVER LTD,,
L1193,MANUFACTURERS HOUSE TRUST,,
L1195,MANUFACTURERS NATIONAL BANK OF DETROIT,,
L1196,MARAC HONG KONG,,
L1197,MARINE MIDLAND BANK,,
L1198,MARTIN CORPORATION,,
L1199,MARYLAND BANK INTERNATIONAL,,
L1200,MARYLAND NATIONAL BANK,,
L1201,MASE-WESTPAC LTD,,
L1202,MASSARAF FAYSAL AL ISLAMI OF BAHRAIN,,
L1203,MAURITIUS COMMERCIAL BANK,,
L1204,LUXEMBOURG ITALIAN BANK SA,,
L1205,MBANK HOUSTON,,
L1206,MCAULEY DENNEHY & TOLLEY,,
L1208,ECCANICA FINANZIARIA INTERNATIONAL SA LUXEMBOURG,,
L1209,MECFINT,,
L1210,COMPASS SPA (MEDIOBANCA GROUP),,
L1211,MEDIOBANCA,,
L1212,MEDIOCREDITO CENTRALE,,
L1213,MEIJI MUTUAL LIFE INSURANCE CO,,
L1214,MELLON BANK NA,,
L1215,MERCANTILE BANK LTD,,
L1216,MERCANTILE BANK OF CANADA,,
L1217,MERCANTILE NATIONAL BANK OF DALLAS,,
L1218,MERCANTILE TRUST CO.,,
L1219,MERCHANT BANKING GROUP,,
L1221,MERCURY ASSET MANAGEMENT,,
L1222,MERIDIEN INTERNATIONAL BANK,,
L1223,M.LYNCH INT. BK LTD,,
L1224,METROPOLITAN BANK & TRUST,,
L1225,METWAY BANK,,
L1226,MEYERS & CO INC,,
L1227,MFC CORPORATION,,
L1228,MICHINOKU BANK,,
L1229,MID-AMERICAN FIN. & INVESTMENT CORP,,
L1230,MIDDLE EAST ASSOCIATES SA,,
L1231,MIDDLE EAST BANK,,
L1232,MIDIAND-MONTAGU,,
L1234,MIDLAND-MONTAGU,,
L1235,MIDLANTIC NATIONAL BANK,,
L1236,MIND BANK LTD,,
L1237,MISR INTERNATIONAL BANK,,
L1239,MITSUBISHI TRUST & BK CORP,,
L1240,MITSUBISHI BANK LTD,,
L1242,MITSUI BANK LTD,,
L1243,MITSUI MUTUAL LIFE INSURANCE CO,,
L1244,MITSUI TRUST & BANKING CO LTD,,
L1245,MITSUI TRUST BANK SA (EUROPE),,
L1246,MITSUI TRUST FINANCE (HONG KONG) LTD,,
L1248,"BANK MM WARBURG BRINCKMANN, WIRTZ INTERNATIONAL (LUXEMBOURG)",,
L1249,MONTREAL TRUST COMPANY,,
L1250,MORGAN & CIE SA,,
L1251,MORGAN BANK (DELAWARE),,
L1252,MORGAN BANK NEDERLAND,,
L1253,MORGAN BANK OF CANADA,,
L1254,MORGAN FINANCE,,
L1255,ARAB & MORGAN GRENFELL FIN. CO LTD,,
L1256,MORGAN GUARANTY TRUST CO,,
L1257,MORGAN STANLEY & CO INC,,
L1258,MOSCOW NARODNY BANK LTD.,,
L1259,MULTI-CREDIT CORPORATION OF THAILAND,,
L1260,MULTIBANCO COMERMEX SA,,
L1261,MUSLIM COMMERCIAL BANK,,
L1262,MUTUAL LIFE INSURANCE COMPANY OF NEW YORK,,
L1263,MYER FINANCE LTD,,
L1264,ROTHSCHILD INTERCONTINENTAL BANK LTD.,,
L1265,NACIONAL FINANCIERA SA,,
L1266,NAGOYA SOGO BANK,,
L1267,NAGRAFIN BANK LTD,,
L1268,NATIONAL BANK OF CANADA (INT.) LTD,,
L1269,NANTO BANK,,
L1270,NANYANG COMMERCIAL BANK,,
L1271,NANYANG FINANCE,,
L1272,GRINDLAY BRANDTS LTD,,
L1273,NATIONAL & PROVINCIAL BULDING SOCIETY.,,
L1274,NAT. BK OF AUSTRALASIA LTD,,
L1275,NATIONAL BANK OF ABU DHABI,,
L1276,NATIONAL BANK OF BAHRAIN,,
L1277,NATIONAL BANK OF CANADA,,
L1278,NATIONAL BANK OF DETROIT,,
L1279,NATIONAL BANK OF EGYPT,,
L1280,NATIONAL BANK OF FUJAIRAH,,
L1281,NATIONAL BANK OF GREECE,,
L1282,NATIONAL BANK OF KOREA,,
L1283,NATIONAL BANK OF KUWAIT SAK,,
