rssdid,bhcid,date,name
6217,0,19810930,UNION DIME SAVINGS BANK
6235,1131787,19991231,SUNTRUST BK SOUTH CENTRAL TN N
6253,1050600,19991231,LINN CTY BK
6329,1138197,20200331,ANDERSON BROS BK
6338,1078846,19860630,WEST GEORGIA BK
6365,1107933,19951231,FIRST BK
6534,1075201,19870630,BANK OF ST ALBANS
6543,1134742,19900930,WARRICK NB
6552,1062265,19931231,BANK OF HEALDTON
6646,1199714,19820930,MICHIGAN NB-WYOMING
6655,0,19881231,FARMERS ST BK
6721,1076477,19990930,M S BAILEY & SON BKR
6815,0,20001231,GLEN ROCK ST BK
6842,2558505,20020630,FIRST ST BK NEWMAN
6851,0,19890930,COMMUNITY NB
6954,1054354,19990331,GRETNA ST BK
6972,1134078,20111231,FIRST INDEP BK
7009,1246159,20200331,BESSEMER TC
7018,1130520,19951231,GARDEN ST BK OF OCEAN CTY
7036,1075201,19980630,ONE VALLEY BK OF RONCEVERTE NA
7045,1130409,20200331,PEOPLES BK
7054,1066469,19940331,HELENA NB
7072,5117592,20200331,WALLKILL VALLEY FS&LA
7157,1248760,20170630,STATE BK OF BLUE RAPIDS
7166,2508788,20060331,WESTERN SIERRA NB
7232,1131787,19910331,TRUST CO BK OF CARROLL COUNTY
7241,1205633,19930331,FIRST NB OF BAD AXE
7353,1249338,19920930,FIRST CITY TX AUSTIN NA
7456,1063301,20200331,BANK OF HARTINGTON
7568,1028560,19910630,BANK OF LA COSTA
7634,1416457,20200331,FOUR CTY BK
7652,1094211,19960930,MERCANTILE BK OF WRIGHT CTY
7737,1073757,19920630,NATIONSBANK TC FL NA
7755,1054792,19870630,AMERICAN NB OF EVANST
7858,1054644,19860630,HOME ST BK
7933,1079638,19910930,BANK SOUTH WASHINGTON COUNTY
7960,1108332,19890630,FIRST ST BK
8033,1084883,20200331,PEOPLES B&TC POINTE COUPEE PAR
8051,1128657,19890331,NORTHERN HIGHLANDS ST BK
8154,1201233,20021231,CITIZENS BK OF PRINCETON
8257,1120754,19990331,DUBOIS NB
8332,0,19840331,LAWRENCE COUNTY BK
8350,1055258,19850930,FARMERS & MRCH BK OF RUSH CTY
8417,1039502,20060930,BANK ONE TC NA
8462,2454773,20200331,PERRYTON NB
8547,1071276,20041231,HERITAGE CMNTY BK
8556,1105425,19941231,GUARDIAN BK
8631,2728447,20200331,PLEASANTS CTY BK
8659,0,19841231,BANK OF HUNTER
8761,0,19791231,DESERT EMPIRE BK
8837,0,19801231,PEOPLES BKG CO
8855,1127605,20010331,RESOURCE TC
9115,1117679,20040331,COMMERCE BK SHORE NA
9133,1070448,19940331,FIRSTBANK SHINNSTON
9142,1132654,19870331,CHANDLER ST BK
9160,0,20030630,CENTRAL SIERRA BK
9254,1054943,19850630,BANK OF BRONSON
9272,0,19830930,DESCHUTES BK
9339,1249347,20020930,UNITED CMNTY BK NORTH GEORGIA
9357,3362923,20200331,FIDELITY BK
9441,2441559,19961231,FIRST NB OF NORTHBROOK
9450,1104437,19881231,TRAVIS B&TC
9478,0,20000930,EQUALITY SB
9553,1053870,20200331,ADAMS CTY BK
9759,1050918,19920930,SOUTHWEST BK HICKORY CTY
9807,2611718,20200331,AMBOY BK
9834,1077120,19770930,SUN BK OF CORAL GABLES
9852,1058969,19870630,STOCKMENS B&TC
9870,1094369,19971231,UNION PLANTERS BK MIDDLE TN NA
9946,1199563,19940331,ASSOCIATED BK WAUSAU
9955,1062425,20200331,FIRST ST B&TC
10009,0,19791231,"SOUTH AMBOY TRUST COMPANY, THE"
10054,1120754,19930331,NORWEST BK WY GILLETTE NA
10157,1060805,20100630,FIRST NB&TC IN LARNED
10232,1240670,19840331,FAYETTE ST BK
10250,3027268,20200331,BANK OF ELK RIVER
10353,1249338,19880630,FIRST CITY BK - NE NA
10438,1070448,19950630,WESBANCO BK SISSONVILLE
10447,1098170,19930331,CHRISNEY ST BK
10456,0,19850930,FIRST ST BK
10513,0,19920630,NATIONAL CMRL BK-NY BR
10531,0,19840930,MERCHANTS & FARMERS BK
10540,1199497,19900630,M&I BK OF ADAMS-FRIENDSHIP
10559,1066151,19940630,BREWSTER NB
10577,1031168,20010930,PACIFIC ST BK
10634,1085572,19950630,BRASELTON BKG CO
10737,1240241,19821231,UNITED NB
10746,1718245,19950630,LASALLE BK NORTHBROOK
10755,0,19870331,UNITED BK OF TEXAS
10849,1491614,20200331,FIRST ST BK
10858,1066209,20131231,PLATTE VALLEY ST B&TC
10933,1083439,19931231,FIRST ACADIANA NB
10951,1199509,19890331,FIRST NB MINOCQUA & WOOD
11051,0,19920930,BREMEN ST BK
11145,4764346,20200331,LAKE-OSCEOLA ST BK
11275,1203602,20160930,PULASKI BK NA
11341,0,19850331,BANK OF LOCKESBURG
11350,1051081,20020630,AMERICAN NB OF KIMBALL
11501,0,19920630,BANCO DI ROMA SPA-NY BRANCH
11556,1094211,19960930,MERCANTILE BK OF JEFFERSON CTY
11631,1076776,19780331,BARNETT BK OF COLLIER COUNTY
11640,1097100,20200331,FIRST NB OF CLARKSDALE
11659,0,19930930,STATE BK OF GREEN RIVER
11752,2043328,19951231,FIRST ST BK OF LANSING
11837,1246252,20200331,FARMERS BK
11846,1199648,19900331,FIRST OF AMERICA BK
11855,1128116,19960630,FIRST NB OF ELMORE
11864,1120754,19951231,NORWEST BK TX PLAINVIEW NA
11958,1249338,19880630,FIRST CITY BK - NORTH BELT NA
12030,1134041,20200331,FNB SOUTH
12058,1067484,20080630,BANK OF HOLDEN
12142,1913684,20200331,CLEVELAND ST BK
12179,0,20190630,AMERICAN SVG BK
12245,1245509,20140930,BANK NORTH
12254,2655534,20000331,STATE BK OF LANCASTER
12311,1068191,20200331,HUNTINGTON NB
12357,1862960,20040331,ELLSWORTH ST BK
12366,1103506,19851231,CITY NB OF PLAINVIEW
12405,2194976,20010930,CENTRAL NB
12535,1075751,19900930,NATIONAL BK OF COMMERCE
12562,0,19800630,AMERICAN SECURITY BK
12629,1072237,19790930,UNTD VA BK OF ROANOKE NA
12647,1141133,20200331,PORTAGE CTY BK
12656,0,20200331,EMERALD BK
12731,1245125,19840930,AMERICAN BK
12759,0,19970630,BANK OF ELLENDALE
12834,1084164,19940630,BANK OF CORAL GABLES
12843,1199479,19950331,FIRST COLONIAL BK NORTHLAKE
12852,0,19890930,GREATER TEXAS BK NORTH NA
12937,1201644,20190331,OAK BK
12946,1135413,20200331,FARMERS B&TC
12955,1066900,20170331,BANK OF NE
13019,0,19820930,PEOPLES NB IN LAKEWOOD
13037,2007647,20110331,TRADERS BK INC
13046,0,19860930,UNITED BK OF INDIANA NA
13055,1063440,19980930,CITIZENS BK
13103,2388878,20200331,BRISTOL CTY SVG BK
13149,1199497,19950930,M&I BK ANTIGO
13158,1050842,19921231,BUHLER ST BK
13176,1025475,20000331,DOUGLAS NB
13251,1128947,20200331,ELYSIAN BK
13309,1250530,20040630,BSB B&TC
13354,0,19980331,AUSTIN NB
13439,1427323,19970331,PETERSON BK
13457,1063516,20200331,BANK OF LEWELLEN
13541,1200003,19970630,FMB-ARCADIA BK
13617,1116908,19911231,FIRST BK OF TROY
13653,1846634,19961231,SUMMIT BK
13662,0,19930331,AMERICAN B&TC
13756,1034806,19890930,KEY BK OF WY KEMMERER
13859,1094211,19960930,MERCANTILE BK OF LAWRENCE
13952,0,19900930,BOUNDARY WATERS ST BK
13961,0,19900630,CHISHOLM NB
14025,1074567,19860331,SUBURBAN BK
14052,3613504,20180930,LINCOLN CMNTY BK
14119,0,19841231,TOWER CITY NB
14137,0,19830930,BANK OF COMMERCE
14155,2168931,20200331,F&C BK
14258,1120754,20080930,JACKSON ST BK & TR
14409,1245796,20070630,CITIZENS BK OF MA
14454,1123401,20101231,FIRST SECURTY BK EVANSVILLE
14463,1106011,19910331,GLENEAGLES NB
14548,1199620,19900331,FIRST NB OF INDIANA
14650,2224408,20200331,BANK OF LOCUST GROVE
14753,0,20200331,FARMERS ST BK OF BUCKLIN KS
14847,1199705,19880331,OLD KENT BK BATTLE CREEK
14856,0,19840331,ERHARD ST BK
14865,2615154,20200331,BANK OF EASTERN OR
14904,1039502,19780930,CHEMICAL BANK OF BINGHAMTON
14931,0,20040331,FIRST WESTERN BK
14940,1231333,20050331,HARRIS BK OAKBROOK TERRACE
14959,1104576,19981231,AZLE ST BK
14977,0,20200331,FIRST FED BK LITLFLD TX SSB
15059,1249338,19880630,FIRST CITY BK - NCHASE NA
15077,0,19970930,WILBUR SVG BK
15134,1076262,19970930,HOME NB OF SUTTON
15170,0,20000331,MITCHELL SVG BK
15255,1247138,19941231,BUCKLIN ST BK
15358,1120754,19950930,NORWEST BK MN MESABI NA
15433,0,19830930,FIRST CITY BK OF DADE COUNTY
15442,1203264,19920331,OAK LAWN T&SB
15451,1131321,19880630,FIRST BK
15536,1130780,20090930,PARK NB
15554,1022951,19860930,CITIZENS ST BK
15602,1142185,19940331,NEWORLD BK
15732,1249507,20030331,FIRST COLONY BK
15853,1417007,19981231,FIRST NB KEMMERER
15938,1072947,19890630,SOVRAN BK MARSHALL COUNTY NA
15947,1199497,19900630,M&I BK OF WESTFIELD
16056,0,19950331,STATE BK OF LIBERTY
16243,0,19861231,MOROCCO ST BK
16337,1084155,20100930,WAKULLA BK
16355,2942702,20030331,BANK OF LARAMIE NA
16458,1051513,20141231,DOUGLAS CTY BK
16551,1126037,20200331,NORTHVIEW BK
16560,0,19930331,PLANO EAST NB
16627,1076039,19920930,REPUBLIC B&TC
16654,1249338,19880630,FIRST CITY BK WESTHEIMER NA
16748,3105568,20200331,ELBERFELD ST BK
16757,1055726,19960331,BANK OF LOVE CTY
16766,1136531,20031231,PENINSULA BK OF CMRC
16823,0,19830630,BANKERS TC
16935,1079281,19850630,COMMERCIAL & EXCHANGE BK
16944,0,20150331,WEST MI SVG BK
16953,1126952,20150930,FIRST ST BK OF FERTILE
17035,1972391,19990331,FIRST CMNTY BK OF VIDALIA
17062,1109665,19900331,WILLOW BEND NB
17110,4046640,20200331,HAVERFORD TC
17147,1208559,20200331,FIRST MRCHS BK
17156,1249338,19880630,FIRST CITY BK OF HIGHLAND
17240,1099467,19980930,CITIZENS NB OF EVANSVILLE
17259,2096164,20200331,FIRST NB IN MARLOW
17343,1120754,19911231,NORWEST BK WI APPLETON
17352,1057177,19980630,PEOPLES NB&TC OF BURLINGTON
17437,0,19850930,CITIZENS & MERCHANTS BK
17464,1123670,20170630,BANK OF THE CASCADES
17549,1130780,20051231,FIRST BK OF OAK PARK
17558,1102125,19890930,AMERICAN NB
17633,1137060,19990630,SOUTH CHICAGO BK
17642,2576424,20020331,BANK OF MANSFIELD
17736,1130892,19870930,RACELAND B&TC
17763,0,19870930,NORTH AMER BK
17839,1078846,20081231,SUMTER B&TC
17857,1983977,19980331,FIRST CMNTY BK
