,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10065,198701019,1,B3962,NEW WORLD TACHO LTD,,CHINA,CHN,H49,,,0
10066,198701020,1,B0127,AIR FRANCE,,FRANCE,FRA,H51,,,0
10067,198701021,1,B0133,AMERICAN AIR L'LIQUIDE INC,,FRANCE,FRA,C20,,,0
10068,198701022,1,B1634,CREDIT FONCIER DE FRANCE,,FRANCE,FRA,K64,,,0
10069,198701023,1,B1638,CREDIT NATIONAL,,FRANCE,FRA,K64,,,0
10070,198701024,1,B1916,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,0
10071,198701025,1,B4869,SAUDI EUROPEAN BANK,,FRANCE,FRA,K64,,,0
10072,198701026,1,B3326,KREDIETANSTALT FUR WIEDERRAUFBAU,,GERMANY,DEU,K64,,,0
10073,198701027,1,B2720,"HERACLE, GENERAL CEMENT CO",,GREECE,GRC,C32,,,0
10074,198701028,1,B1776,DEVELOPMENT FUND OF ICELAND,,ICELAND,ISL,O84,,,0
10075,198701029,1,B2479,REPUBLIC OF ICELAND,,ICELAND,ISL,O84,,,0
10076,198701030,1,B5313,STATE FERTILIZER PLANT OF ICELAND,,ICELAND,ISL,,,,1
10077,198701031,1,B4146,OIL & NATURAL GAS COMMISSION,,INDIA,IND,B06,,,0
10078,198701032,1,B2484,IRELAND,,IRELAND,IRL,O84,,,0
10079,198701033,1,B3077,ISRAEL CHEMICALS LTD,,ISRAEL,ISR,C20,,,0
10080,198701034,1,B1607,AGUSTA SPA,,ITALY,ITA,C29,,,0
10081,198701035,1,B0587,BANCO DI ROMA,,ITALY,ITA,K64,,,0
10082,198701036,1,B0525,BANCA POPOLARE DI NOVARA,,ITALY,ITA,K64,,,0
10083,198701037,1,B0802,BELLELI SPA,,ITALY,ITA,D35,,,0
10084,198701038,1,B2152,ISTITUTO FEDERALE DI CREDITO AGRARIO PER IL PIEMONTE LA LIGURIA E LA VALLE D'AOSTA,,ITALY,ITA,K64,,,0
10085,198701039,1,B5039,SOCIETA ITALIANA PER L'ESERCIZIO TELEFONICO PA,SIP,ITALY,ITA,J61,,,0
